id,source,matching,destination,type,category,status,ignore
"18","scrum/4-advantages-of-physical-task-boards/feed/","exact","https://agilevelocity.com/blog/4-advantages-of-physical-task-boards","301","","active",""
"18","blog/4-advantages-of-physicaltask-boards/","exact","https://agilevelocity.com/blog/4-advantages-of-physical-task-boards","301","","active",""
"19","5-effects-of-shippable-product-every-30-days","exact","https://agilevelocity.com/blog/5-effects-of-shippable-product-every-30-days","301","","active",""
"20","the-value-of-developers-doing-acceptance-tdd","exact","https://agilevelocity.com/blog/the-value-of-developers-doing-acceptance-tdd","301","","active",""
"21","struggle-with-self-organizing-teams","exact","https://agilevelocity.com/blog/struggle-with-self-organizing-teams","301","","active",""
"22","what-can-we-learn-from-the-failure-of-duke-nukem","exact","https://agilevelocity.com/blog/what-can-we-learn-from-the-failure-of-duke-nukem","301","","active",""
"23","daily-scrums-awesome","exact","https://agilevelocity.com/blog/daily-scrums-awesome","301","","active",""
"24","team-good-improvement","exact","https://agilevelocity.com/blog/team-good-improvement","301","","active",""
"25","dont-sprint-sprint-planning","exact","https://agilevelocity.com/blog/dont-sprint-sprint-planning","301","","active",""
"26","finding-cure-to-yes","exact","https://agilevelocity.com/blog/finding-cure-to-yes","301","","active",""
"27","virtualization-makes-better-developer","exact","https://agilevelocity.com/blog/virtualization-makes-better-developer","301","","active",""
"28","legacy-code-deal","exact","https://agilevelocity.com/blog/legacy-code-deal","301","","active",""
"28","agile-technical-practices/legacy-code-deal/","exact","https://agilevelocity.com/blog/legacy-code-deal","301","","active",""
"29","release-planning","exact","https://agilevelocity.com/blog/release-planning","301","","active",""
"30","sprint-review","exact","https://agilevelocity.com/blog/sprint-review","301","","active",""
"31","automated-testing-legacy-software-products","exact","https://agilevelocity.com/blog/automated-testing-legacy-software-products","301","","active",""
"32","legacy-applications-lessons-coupling","exact","https://agilevelocity.com/blog/legacy-applications-lessons-coupling","301","","active",""
"33","courage-craftsmanship","exact","https://agilevelocity.com/blog/courage-craftsmanship","301","","active",""
"34","tips-enhance-agile-career","exact","https://agilevelocity.com/blog/tips-enhance-agile-career","301","","active",""
"35","behavior-driven-development-steps-implement-part","exact","https://agilevelocity.com/blog/behavior-driven-development-steps-implement-part","301","","active",""
"36","behavior-driven-development-steps-implement-part-ii","exact","https://agilevelocity.com/blog/behavior-driven-development-steps-implement-part-ii","301","","active",""
"37","building-house-agile-innovation-teams-transparency","exact","https://agilevelocity.com/blog/building-house-agile-innovation-teams-transparency","301","","active",""
"38","purity-vs-pragmatism","exact","https://agilevelocity.com/blog/purity-vs-pragmatism","301","","active",""
"39","advanced-release-charting-template-part-1","exact","https://agilevelocity.com/blog/advanced-release-charting-template-part-1","301","","active",""
"40","advanced-release-charting-template-part-2","exact","https://agilevelocity.com/blog/advanced-release-charting-template-part-2","301","","active",""
"41","austin-business-journals-best-places-work","exact","https://agilevelocity.com/blog/austin-business-journals-best-places-work","301","","active",""
"42","energize-meetings-exercises-break-ice","exact","https://agilevelocity.com/blog/energize-meetings-exercises-break-ice","301","","active",""
"42","scrum/energize-meetings-exercises-break-ice/","exact","https://agilevelocity.com/blog/energize-meetings-exercises-break-ice","301","","active",""
"43","energize-meetings-series","exact","https://agilevelocity.com/blog/energize-meetings-series","301","","active",""
"44","energize-meetings-exercises-encourage-brainstorming","exact","https://agilevelocity.com/blog/energize-meetings-exercises-encourage-brainstorming","301","","active",""
"45","energize-meetings-exercises-prepare-long-meetings","exact","https://agilevelocity.com/blog/energize-meetings-exercises-prepare-long-meetings","301","","active",""
"46","biggest-risks-product-development","exact","https://agilevelocity.com/blog/biggest-risks-product-development","301","","active",""
"47","double-value-half-time","exact","https://agilevelocity.com/blog/double-value-half-time","301","","active",""
"48","technical-debt-game","exact","https://agilevelocity.com/blog/technical-debt-game","301","","active",""
"49","deliver-double-value-half-time-2-2","exact","https://agilevelocity.com/blog/deliver-double-value-half-time-2-2","301","","active",""
"50","wrapping-global-day-coderetreat-2014","exact","https://agilevelocity.com/blog/wrapping-global-day-coderetreat-2014","301","","active",""
"51","strategy-addressing-agile-development-team-challenges","exact","https://agilevelocity.com/blog/strategy-addressing-agile-development-team-challenges","301","","active",""
"52","addressing-limits-traditional-agile-coaching-player-coach","exact","https://agilevelocity.com/blog/addressing-limits-traditional-agile-coaching-player-coach","301","","active",""
"53","5-good-habits-high-quality-scrum-teams","exact","https://agilevelocity.com/blog/5-good-habits-high-quality-scrum-teams","301","","active",""
"53","scrum/5-good-habits-high-quality-scrum-teams/","exact","https://agilevelocity.com/blog/5-good-habits-high-quality-scrum-teams","301","","active",""
"54","agile-development-developing-right-way","exact","https://agilevelocity.com/blog/agile-development-developing-right-way","301","","active",""
"55","using-agile-deliver-double-value-half-time-series","exact","https://agilevelocity.com/blog/using-agile-deliver-double-value-half-time-series","301","","active",""
"56","potentially-shippable-product-increment-pspi-rosetta-stone-software-development","exact","https://agilevelocity.com/blog/potentially-shippable-product-increment-pspi-rosetta-stone-software-development","301","","active",""
"57","high-performing-distributed-agile-teams","exact","https://agilevelocity.com/blog/high-performing-distributed-agile-teams","301","","active",""
"58","new-focus-agile-product-development-intro-product-discovery","exact","https://agilevelocity.com/blog/new-focus-agile-product-development-intro-product-discovery","301","","active",""
"59","dysfunction-junction-share","exact","https://agilevelocity.com/blog/dysfunction-junction-share","301","","active",""
"60","training-return-investment","exact","https://agilevelocity.com/blog/training-return-investment","301","","active",""
"61","introduction-agile-product-managers","exact","https://agilevelocity.com/blog/introduction-agile-product-managers","301","","active",""
"62","accelerate-learning-overcome-6-traps-agile","exact","https://agilevelocity.com/blog/accelerate-learning-overcome-6-traps-agile","301","","active",""
"63","building-shared-understanding-document-revolution-product-software-development","exact","https://agilevelocity.com/blog/building-shared-understanding-document-revolution-product-software-development","301","","active",""
"63","buildingshared-understanding-document-revolution-product-software-development/","exact","https://agilevelocity.com/blog/building-shared-understanding-document-revolution-product-software-development","301","","active",""
"64","role-agile-business-analyst","exact","https://agilevelocity.com/blog/role-agile-business-analyst","301","","active",""
"65","5-ways-executive-leadership-can-affect-success-agile-adoption","exact","https://agilevelocity.com/blog/5-ways-executive-leadership-can-affect-success-agile-adoption","301","","active",""
"66","keep-austin-agile-conference-agile-velocity-presentations","exact","https://agilevelocity.com/blog/keep-austin-agile-conference-agile-velocity-presentations","301","","active",""
"67","overcome-6-traps-agile","exact","https://agilevelocity.com/blog/overcome-6-traps-agile","301","","active",""
"68","tech-debt-game","exact","https://agilevelocity.com/blog/tech-debt-game","301","","active",""
"69","role-coach-starts-building-team-trust-alignment","exact","https://agilevelocity.com/blog/role-coach-starts-building-team-trust-alignment","301","","active",""
"70","5-tips-overcome-stalled-agile-transformation","exact","https://agilevelocity.com/blog/5-tips-overcome-stalled-agile-transformation","301","","active",""
"71","invest-dedicated-product-owner","exact","https://agilevelocity.com/blog/invest-dedicated-product-owner","301","","active",""
"72","dont-lock-in-tough-decisions-early","exact","https://agilevelocity.com/blog/dont-lock-in-tough-decisions-early","301","","active",""
"73","its-about-requirements-discovery-not-delivery","exact","https://agilevelocity.com/blog/its-about-requirements-discovery-not-delivery","301","","active",""
"74","practical-agile-tips","exact","https://agilevelocity.com/blog/practical-agile-tips","301","","active",""
"75","shorten-feedback-cycles","exact","https://agilevelocity.com/blog/shorten-feedback-cycles","301","","active",""
"75","agile/shorten-feedback-cycles/feed/","exact","https://agilevelocity.com/blog/shorten-feedback-cycles","301","","active",""
"76","focus","exact","https://agilevelocity.com/blog/focus","301","","active",""
"76","agile/focus/","exact","https://agilevelocity.com/blog/focus","301","","active",""
"77","getting-done","exact","https://agilevelocity.com/blog/getting-done","301","","active",""
"78","prioritize","exact","https://agilevelocity.com/blog/prioritize","301","","active",""
"79","news0801","exact","https://agilevelocity.com/blog/news0801","301","","active",""
"80","user-stories-might-havent-thought","exact","https://agilevelocity.com/blog/user-stories-might-havent-thought","301","","active",""
"81","how-to-fight-the-chaos-phase-of-agile-adoption-and-win-with-an-agile-coach","exact","https://agilevelocity.com/blog/how-to-fight-the-chaos-phase-of-agile-adoption-and-win-with-an-agile-coach","301","","active",""
"82","blog-series-10-agile-transformation-pitfalls-and-how-to-address-them","exact","https://agilevelocity.com/blog/blog-series-10-agile-transformation-pitfalls-and-how-to-address-them","301","","active",""
"83","driving-agile-transformations","exact","https://agilevelocity.com/blog/driving-agile-transformations","301","","active",""
"84","providing-slack-agile-transformations","exact","https://agilevelocity.com/blog/providing-slack-agile-transformations","301","","active",""
"84","agile-transformation/providing-slack-agile-transformations/feed/","exact","https://agilevelocity.com/blog/providing-slack-agile-transformations","301","","active",""
"85","without-leadership-alignment-there-can-be-no-agile-transformation","exact","https://agilevelocity.com/blog/without-leadership-alignment-there-can-be-no-agile-transformation","301","","active",""
"85","agile-transformation/without-leadership-alignment-there-can-be-no-agile-transformation/feed/","exact","https://agilevelocity.com/blog/without-leadership-alignment-there-can-be-no-agile-transformation","301","","active",""
"86","how-to-deliver-double-the-value-in-half-the-time-video","exact","https://agilevelocity.com/blog/how-to-deliver-double-the-value-in-half-the-time-video","301","","active",""
"87","in-an-agile-transformation-transparency-is-to-empower-not-to-micromanage","exact","https://agilevelocity.com/blog/in-an-agile-transformation-transparency-is-to-empower-not-to-micromanage","301","","active",""
"88","5-factors-to-help-prioritize-your-scrum-product-backlog","exact","https://agilevelocity.com/blog/5-factors-to-help-prioritize-your-scrum-product-backlog","301","","active",""
"89","how-to-eliminate-the-hidden-project-plan-via-agile-adoption","exact","https://agilevelocity.com/blog/how-to-eliminate-the-hidden-project-plan-via-agile-adoption","301","","active",""
"90","not-starring-feature-teams","exact","https://agilevelocity.com/blog/not-starring-feature-teams","301","","active",""
"91","happy-thanksgiving","exact","https://agilevelocity.com/blog/happy-thanksgiving","301","","active",""
"92","agile-marketing-test-2-will-writing-acceptance-criteria-help","exact","https://agilevelocity.com/blog/agile-marketing-test-2-will-writing-acceptance-criteria-help","301","","active",""
"92","agile-marketing/agile-marketing-test-2-will-writing-acceptance-criteria-help/","exact","https://agilevelocity.com/blog/agile-marketing-test-2-will-writing-acceptance-criteria-help","301","","active",""
"93","agile-transformation-pitfall-7-not-improving-technical-practices","exact","https://agilevelocity.com/blog/agile-transformation-pitfall-7-not-improving-technical-practices","301","","active",""
"94","3-ws-building-agile-team","exact","https://agilevelocity.com/blog/3-ws-building-agile-team","301","","active",""
"95","agile-transformations-pitfalls-8-focusing-team","exact","https://agilevelocity.com/blog/agile-transformations-pitfalls-8-focusing-team","301","","active",""
"96","8-skills-successful-scrummasters-told-leslie-knope","exact","https://agilevelocity.com/blog/8-skills-successful-scrummasters-told-leslie-knope","301","","active",""
"96","scrummaster/8-skills-successful-scrummasters-told-leslie-knope/","exact","https://agilevelocity.com/blog/8-skills-successful-scrummasters-told-leslie-knope","301","","active",""
"97","agile-transformation-pitfall-9-10-misalignment-team-customers-enterprise-organization","exact","https://agilevelocity.com/blog/agile-transformation-pitfall-9-10-misalignment-team-customers-enterprise-organization","301","","active",""
"98","4-characteristics-personable-useful-customeruser-persona","exact","https://agilevelocity.com/blog/4-characteristics-personable-useful-customeruser-persona","301","","active",""
"98","product-owner/4-characteristics-personable-useful-customeruser-persona/","exact","https://agilevelocity.com/blog/4-characteristics-personable-useful-customeruser-persona","301","","active",""
"99","not-another-scrum-event-11-responses-scrummasters-can-use-fight-agiles-common-argument","exact","https://agilevelocity.com/blog/not-another-scrum-event-11-responses-scrummasters-can-use-fight-agiles-common-argument","301","","active",""
"100","how-to-build-trust-in-the-workplace","exact","https://agilevelocity.com/blog/how-to-build-trust-in-the-workplace","301","","active",""
"101","diagnosing-wellness-product-backlog","exact","https://agilevelocity.com/blog/diagnosing-wellness-product-backlog","301","","active",""
"102","deal-agile-haters-team","exact","https://agilevelocity.com/blog/deal-agile-haters-team","301","","active",""
"103","millennials-9-5-18-statistics-important-attracting-retaining-millennial-talent","exact","https://agilevelocity.com/blog/millennials-9-5-18-statistics-important-attracting-retaining-millennial-talent","301","","active",""
"104","5-common-story-point-estimation-mistakes","exact","https://agilevelocity.com/blog/5-common-story-point-estimation-mistakes","301","","active",""
"104","scrum/5-common-story-point-estimation-mistakes/","exact","https://agilevelocity.com/blog/5-common-story-point-estimation-mistakes","301","","active",""
"105","blogshared-cargoand-successful-agile-teams","exact","https://agilevelocity.com/blog/blogshared-cargoand-successful-agile-teams","301","","active",""
"106","blogadventures-agile-marketing-editorial-calendar","exact","https://agilevelocity.com/blog/blogadventures-agile-marketing-editorial-calendar","301","","active",""
"107","tesla-model-3-lean-mean-driving-machine","exact","https://agilevelocity.com/blog/tesla-model-3-lean-mean-driving-machine","301","","active",""
"108","versionone-2016-state-agile-report-agile-hits-30s","exact","https://agilevelocity.com/blog/versionone-2016-state-agile-report-agile-hits-30s","301","","active",""
"109","sgfla-infinity-beyond","exact","https://agilevelocity.com/blog/sgfla-infinity-beyond","301","","active",""
"110","agile-amped-agile-velocity-style","exact","https://agilevelocity.com/blog/agile-amped-agile-velocity-style","301","","active",""
"111","blogget-started-story-points-via-affinity-estimation-cheat-sheet","exact","https://agilevelocity.com/blog/blogget-started-story-points-via-affinity-estimation-cheat-sheet","301","","active",""
"112","giant-jenga-agile-tips-tower-agility","exact","https://agilevelocity.com/blog/giant-jenga-agile-tips-tower-agility","301","","active",""
"113","blogwhy-you-need-to-jazz-up-your-boring-user-stories","exact","https://agilevelocity.com/blog/blogwhy-you-need-to-jazz-up-your-boring-user-stories","301","","active",""
"114","5-non-agile-ted-talks-agile","exact","https://agilevelocity.com/blog/5-non-agile-ted-talks-agile","301","","active",""
"115","agile-death-annual-reviews","exact","https://agilevelocity.com/blog/agile-death-annual-reviews","301","","active",""
"116","find-next-product-owner","exact","https://agilevelocity.com/blog/find-next-product-owner","301","","active",""
"117","path-agility-adoption-patterns-overcome-pitfalls-keep-austin-agile-2016-video","exact","https://agilevelocity.com/blog/path-agility-adoption-patterns-overcome-pitfalls-keep-austin-agile-2016-video","301","","active",""
"118","agile2016-book-roundup","exact","https://agilevelocity.com/blog/agile2016-book-roundup","301","","active",""
"119","qa-allison-pollard-answers-myths-mobbing-morals-craftsmanship","exact","https://agilevelocity.com/blog/qa-allison-pollard-answers-myths-mobbing-morals-craftsmanship","301","","active",""
"120","welcome-matrix-organizational-structures-support-agile-video","exact","https://agilevelocity.com/blog/welcome-matrix-organizational-structures-support-agile-video","301","","active",""
"121","can-feel-burndown-use-burn-charts-good-not-evil","exact","https://agilevelocity.com/blog/can-feel-burndown-use-burn-charts-good-not-evil","301","","active",""
"122","portfolio-kanban-applying-lean-agile-principles-portfolio-level-keep-austin-agile-2016","exact","https://agilevelocity.com/blog/portfolio-kanban-applying-lean-agile-principles-portfolio-level-keep-austin-agile-2016","301","","active",""
"123","agile-resource-can-4-letter-word","exact","https://agilevelocity.com/blog/agile-resource-can-4-letter-word","301","","active",""
"123","uncategorized/agile-resource-can-4-letter-word/","exact","https://agilevelocity.com/blog/agile-resource-can-4-letter-word","301","","active",""
"124","frozen-middle-agile-transformations","exact","https://agilevelocity.com/blog/frozen-middle-agile-transformations","301","","active",""
"125","adventures-agile-marketing-estimating-story-points","exact","https://agilevelocity.com/blog/adventures-agile-marketing-estimating-story-points","301","","active",""
"126","potus-like-scrummaster-product-owner","exact","https://agilevelocity.com/blog/potus-like-scrummaster-product-owner","301","","active",""
"127","scrummaster-%e2%89%a0-manager","exact","https://agilevelocity.com/blog/scrummaster-%e2%89%a0-manager","301","","active",""
"128","not-8-bad-habits-sabotaging-agile-transformation","exact","https://agilevelocity.com/blog/not-8-bad-habits-sabotaging-agile-transformation","301","","active",""
"129","blogscrum-events-are-necessary-and-not-evil","exact","https://agilevelocity.com/blog/blogscrum-events-are-necessary-and-not-evil","301","","active",""
"130","blogpractical-guidelines-for-scheduling-scrum-events","exact","https://agilevelocity.com/blog/blogpractical-guidelines-for-scheduling-scrum-events","301","","active",""
"131","sustainable-pace-everyone-including-agilists","exact","https://agilevelocity.com/blog/sustainable-pace-everyone-including-agilists","301","","active",""
"132","sprint-may-mini-waterfall","exact","https://agilevelocity.com/blog/sprint-may-mini-waterfall","301","","active",""
"133","21-flavors-scrummaster-role-combinations-pros-cons","exact","https://agilevelocity.com/blog/21-flavors-scrummaster-role-combinations-pros-cons","301","","active",""
"133","scrum/21-flavors-scrummaster-role-combinations-pros-cons/","exact","https://agilevelocity.com/blog/21-flavors-scrummaster-role-combinations-pros-cons","301","","active",""
"134","bloglessons-learned-ice-cream-social","exact","https://agilevelocity.com/blog/bloglessons-learned-ice-cream-social","301","","active",""
"135","technical-skills-product-owner","exact","https://agilevelocity.com/blog/technical-skills-product-owner","301","","active",""
"135","product-owner/technical-skills-product-owner/","exact","https://agilevelocity.com/blog/technical-skills-product-owner","301","","active",""
"136","know-company-objective","exact","https://agilevelocity.com/blog/know-company-objective","301","","active",""
"137","agile-team-coaches-even","exact","https://agilevelocity.com/blog/agile-team-coaches-even","301","","active",""
"138","blogthe-news-cycle-breakpoints-and-coaching-opportunities","exact","https://agilevelocity.com/blog/blogthe-news-cycle-breakpoints-and-coaching-opportunities","301","","active",""
"139","8-roles-agile-coaches-play","exact","https://agilevelocity.com/blog/8-roles-agile-coaches-play","301","","active",""
"140","order-agile-lean-lessons-restaurant-industry","exact","https://agilevelocity.com/blog/order-agile-lean-lessons-restaurant-industry","301","","active",""
"141","agile-system-coaching-whole-greater-sum-parts","exact","https://agilevelocity.com/blog/agile-system-coaching-whole-greater-sum-parts","301","","active",""
"142","webinar-stop-sabotaging-agile-transformation","exact","https://agilevelocity.com/blog/webinar-stop-sabotaging-agile-transformation","301","","active",""
"143","agile-middle-manager-identity-crisis","exact","https://agilevelocity.com/blog/agile-middle-manager-identity-crisis","301","","active",""
"144","user-story-needs-remodel-heres","exact","https://agilevelocity.com/blog/user-story-needs-remodel-heres","301","","active",""
"145","scrummaster-really-full-time-job","exact","https://agilevelocity.com/blog/scrummaster-really-full-time-job","301","","active",""
"146","blogovercome-three-myths-agile-real-practices","exact","https://agilevelocity.com/blog/blogovercome-three-myths-agile-real-practices","301","","active",""
"146","agile/blogovercome-three-myths-agile-real-practices/","exact","https://agilevelocity.com/blog/blogovercome-three-myths-agile-real-practices","301","","active",""
"147","improve-cross-functional-collaboration","exact","https://agilevelocity.com/blog/improve-cross-functional-collaboration","301","","active",""
"148","invest-dont-budget","exact","https://agilevelocity.com/blog/invest-dont-budget","301","","active",""
"149","stop-wasting-building-much-crap","exact","https://agilevelocity.com/blog/stop-wasting-building-much-crap","301","","active",""
"150","xp-values-forgotten-agile-guidance","exact","https://agilevelocity.com/blog/xp-values-forgotten-agile-guidance","301","","active",""
"151","advancing-agile-evolving-manifesto","exact","https://agilevelocity.com/blog/advancing-agile-evolving-manifesto","301","","active",""
"152","organizational-alignment-will-make-break-agile-transformation","exact","https://agilevelocity.com/blog/organizational-alignment-will-make-break-agile-transformation","301","","active",""
"153","true-cost-non-safe-team-environment","exact","https://agilevelocity.com/blog/true-cost-non-safe-team-environment","301","","active",""
"154","sprint-planning-webinar-recap","exact","https://agilevelocity.com/blog/sprint-planning-webinar-recap","301","","active",""
"155","not-diy-agile","exact","https://agilevelocity.com/blog/not-diy-agile","301","","active",""
"156","smoother-agile-transformation","exact","https://agilevelocity.com/blog/smoother-agile-transformation","301","","active",""
"157","story-mapping-101","exact","https://agilevelocity.com/blog/story-mapping-101","301","","active",""
"158","maintaining-a-healthy-backlog","exact","https://agilevelocity.com/blog/maintaining-a-healthy-backlog","301","","active",""
"159","purpose-of-the-daily-scrum-meeting","exact","https://agilevelocity.com/blog/purpose-of-the-daily-scrum-meeting","301","","active",""
"160","five-responsibilities-of-team-members-when-transitioning-to-agile","exact","https://agilevelocity.com/blog/five-responsibilities-of-team-members-when-transitioning-to-agile","301","","active",""
"161","7-principles-of-lean-software-development","exact","https://agilevelocity.com/blog/7-principles-of-lean-software-development","301","","active",""
"161","uncategorized/7-principles-of-lean-software-development/","exact","https://agilevelocity.com/blog/7-principles-of-lean-software-development","301","","active",""
"161","lean/7-principles-of-lean-software-development/","exact","https://agilevelocity.com/blog/7-principles-of-lean-software-development","301","","active",""
"162","5-reasons-why-estimating-in-story-points-is-a-superior-method","exact","https://agilevelocity.com/blog/5-reasons-why-estimating-in-story-points-is-a-superior-method","301","","active",""
"163","its-not-just-about-process-2","exact","https://agilevelocity.com/blog/its-not-just-about-process-2","301","","active",""
"164","product-camp-austin-11","exact","https://agilevelocity.com/blog/product-camp-austin-11","301","","active",""
"165","many-companies-are-drowning-in-a-sea-of-opportunity","exact","https://agilevelocity.com/blog/many-companies-are-drowning-in-a-sea-of-opportunity","301","","active",""
"166","austin-devops-events-summary-culture-is-important","exact","https://agilevelocity.com/blog/austin-devops-events-summary-culture-is-important","301","","active",""
"167","is-hadoop-the-right-solution","exact","https://agilevelocity.com/blog/is-hadoop-the-right-solution","301","","active",""
"168","write-software-that-behaves","exact","https://agilevelocity.com/blog/write-software-that-behaves","301","","active",""
"169","top-10-reasons-software-quality-assurance","exact","https://agilevelocity.com/blog/top-10-reasons-software-quality-assurance","301","","active",""
"170","scrum-assessment-series","exact","https://agilevelocity.com/blog/scrum-assessment-series","301","","active",""
"171","webinar-sprint-retrospectives-qa","exact","https://agilevelocity.com/blog/webinar-sprint-retrospectives-qa","301","","active",""
"172","agile-in-regulated-environments","exact","https://agilevelocity.com/blog/agile-in-regulated-environments","301","","active",""
"172","article/agile-in-regulated-environments/","exact","https://agilevelocity.com/blog/agile-in-regulated-environments","301","","active",""
"172","agile-transformation/agile-in-regulated-environments/","exact","https://agilevelocity.com/blog/agile-in-regulated-environments","301","","active",""
"173","7-scrum-guide-observations-loopholes-interpretations-practical-agile-team","exact","https://agilevelocity.com/blog/7-scrum-guide-observations-loopholes-interpretations-practical-agile-team","301","","active",""
"174","story-mapping-201","exact","https://agilevelocity.com/blog/story-mapping-201","301","","active",""
"175","agile-roles-webinar-recap","exact","https://agilevelocity.com/blog/agile-roles-webinar-recap","301","","active",""
"176","retrospective-cheat-sheet","exact","https://agilevelocity.com/blog/retrospective-cheat-sheet","301","","active",""
"177","sprint-planning-cheat-sheet","exact","https://agilevelocity.com/blog/sprint-planning-cheat-sheet","301","","active",""
"178","daily-scrum-cheat-sheet","exact","https://agilevelocity.com/blog/daily-scrum-cheat-sheet","301","","active",""
"179","top-5-causes-sprint-carryover","exact","https://agilevelocity.com/blog/top-5-causes-sprint-carryover","301","","active",""
"180","overview-agile-scaling-frameworks-webinar-qa","exact","https://agilevelocity.com/blog/overview-agile-scaling-frameworks-webinar-qa","301","","active",""
"181","introduction-agile-planning","exact","https://agilevelocity.com/blog/introduction-agile-planning","301","","active",""
"182","agile-resource-allocation-forming-agile-teams","exact","https://agilevelocity.com/blog/agile-resource-allocation-forming-agile-teams","301","","active",""
"183","overview-of-an-agile-sprint-ceremony-schedule","exact","https://agilevelocity.com/blog/overview-of-an-agile-sprint-ceremony-schedule","301","","active",""
"184","agile-risk-management","exact","https://agilevelocity.com/blog/agile-risk-management","301","","active",""
"185","webinar-evolution-of-a-user-story","exact","https://agilevelocity.com/blog/webinar-evolution-of-a-user-story","301","","active",""
"186","mvp-mmf-psi-wtf-part-one-understanding-the-mvp","exact","https://agilevelocity.com/blog/mvp-mmf-psi-wtf-part-one-understanding-the-mvp","301","","active",""
"187","agile-team-structure","exact","https://agilevelocity.com/blog/agile-team-structure","301","","active",""
"188","psi-potentially-shippable-increment","exact","https://agilevelocity.com/blog/psi-potentially-shippable-increment","301","","active",""
"189","overview-of-the-scrum-framework","exact","https://agilevelocity.com/blog/overview-of-the-scrum-framework","301","","active",""
"189","video/overview-of-the-scrum-framework/","exact","https://agilevelocity.com/blog/overview-of-the-scrum-framework","301","","active",""
"190","the-mmf-minimum-marketable-feature","exact","https://agilevelocity.com/blog/the-mmf-minimum-marketable-feature","301","","active",""
"190","agile/the-mmf-minimum-marketable-feature","exact","https://agilevelocity.com/blog/the-mmf-minimum-marketable-feature","301","","active",""
"191","dont-let-your-sprint-become-mini-waterfall","exact","https://agilevelocity.com/blog/dont-let-your-sprint-become-mini-waterfall","301","","active",""
"192","backlog-refinement-first-class-citizen","exact","https://agilevelocity.com/blog/backlog-refinement-first-class-citizen","301","","active",""
"193","the-tug-of-war-between-releasing-early-and-completing-the-project","exact","https://agilevelocity.com/blog/the-tug-of-war-between-releasing-early-and-completing-the-project","301","","active",""
"194","webinar-next-level-agile","exact","https://agilevelocity.com/blog/webinar-next-level-agile","301","","active",""
"195","improving-employee-retention-millennial-software-developers","exact","https://agilevelocity.com/blog/improving-employee-retention-millennial-software-developers","301","","active",""
"196","what-does-a-scrummaster-do-anyway","exact","https://agilevelocity.com/blog/what-does-a-scrummaster-do-anyway","301","","active",""
"196","scrummaster/what-does-a-scrummaster-do-anyway/","exact","https://agilevelocity.com/blog/what-does-a-scrummaster-do-anyway","301","","active",""
"197","webinar-backlog-refinement","exact","https://agilevelocity.com/blog/webinar-backlog-refinement","301","","active",""
"197","webinar/webinar-backlog-refinement/","exact","https://agilevelocity.com/blog/webinar-backlog-refinement","301","","active",""
"198","lean-economics-101-the-power-of-wip-limits","exact","https://agilevelocity.com/blog/lean-economics-101-the-power-of-wip-limits","301","","active",""
